reviewId,content,score
3d4fcc47-04ba-45a3-9213-31e557a98550,Marketplace location keeps changing to Rotherham. Text size option removed! What a joke. Everything loading slowly.,1
e54bf378-2e2e-4a92-86a1-391dd1c14ee4,good,5
6713ff86-3bd4-47bd-99e6-7ac40b29fe02,Oppo,5
2e14a9ef-c328-4a6c-8c4d-766c2d6e7f43,very nice,5
11a3bb07-e2ef-4255-9494-d8d7b750f039,Good 👍😊👍😊👍😊👍😊👍😊👍😊👍😊👍😊👍😊👍👍😊👍😊👍😊👍😊👍👍,5
217db334-c423-4a7d-a59d-7da3f2f0aa6c,It's nice,5
9b76a0f9-829d-4f30-9aaf-1997897fb9f3,Content was disburbing.,1
5a820b4c-db32-4b06-a131-26d1148172db,New version,5
7590b55f-4c20-4313-9f8f-277c0fdcb5c7,Afasarshaha,5
6c3b42af-b7ce-4690-802c-979c8be86ef0,Im satesfield to use thus apps,5
864e7a39-cf70-45b2-b3a7-3ca4dd426fec,Haajii abadir,1
86750a26-d944-44aa-bf1c-d5c908d90b6c,it is good 👍 👌,5
92b04716-d9c3-4211-b88f-788f6e12ff7c,Oppo A38,4
245cc8c1-f4b4-4e02-8b34-f971a4a8677e,মেসেজ করতে পারি না,5
efbc3639-5779-45c8-b35b-5d62d4e4c792,thank,5
642649f0-e721-43f7-bbf2-c926b7b19598,edjonmrak1999 28,2
0428891b-731c-43fe-bef4-66228852ca6f,Violet muzyamba,5
3217fd92-0c76-45d0-b1f6-049c7900128d,Masood 112,5
fab76c9e-41c8-4d3f-ba4b-270f291cf429,""" Absolute bias towards israel """,1
22a9a1df-7834-47af-84ec-7170d8c0bf3e,New version,1
d722f1db-5630-4540-b950-73958f95323a,Facebook,5
5335526f-5b27-44d1-b998-d9fa610d7f50,facebook lite,5
de9c5129-9172-409f-96c1-fb403315c48c,Rate,5
e2483070-90d1-4616-b44f-99b2018d231a,शंकर,1
e1596113-0711-4861-b9d5-b7859be77820,Priŋce Zʌmʌŋ Bʌɭocʜ󱢏 follow karo plz,1
b96fe96a-2e34-46fa-a2cd-7d5106edf048,A2Z on app linksoff Smat Saddam ke Valo vaso sokol Manus gon,5
d63880b1-e8f8-4a07-8913-c26011a7fde0,Akbarjihadhasen,4
