reviewId,content,score
5ad841b0-962d-464b-a251-389c8fc72bea,not working,1
48442368-7246-488c-8a07-798b868b93c0,Good Service,5
bc7d2866-500c-49c1-9205-f894eb39f930,anger.,1
50cfbe1b-aa6a-435b-8c9f-42a37a6e03c2,very good app,5
29a94c2d-aea3-4d37-a1d3-5775c7923626,4 star it couldn't be 5 because I don't have the save vids or photos 😔,4
85546e1d-af67-46e8-b15c-4be24c755fbc,I cant create a note in my messenger,1
089b0220-5f63-4375-88fe-314edfdcb48d,I can Communicate with my Ldr Mom,5
718fe956-6172-4d4e-a875-21dc4e5e292d,"Great for reliable, fast comms.",5
1ad365a8-9722-4177-ada7-c2f276089914,ok,5
b1024808-2c3b-4b7a-b807-66ba0138f850,messenger is very nice to use because my family around the world loveyouuuu,5
7a1084cf-2d6f-4155-b389-84106eba4c55,ល្អ,5
7bdb6c26-3492-4289-9633-54e481a23526,The video was slightly grainy but overall pretty good. The grainy video could have been the other person's phone quality.,4
bf7fd0fa-a6cb-4192-ae58-4e24d84d25cc,5 Stars,5
ba465c8c-c8da-48e8-aac8-7133181f6290,good,5
ad8d0faf-db90-4d63-b9f2-fd5bf02fdb8d,My favourite this app.,5
8f9ed01b-b667-4cfb-b369-60b91dac658a,I love this way of keeping in touch with my family by video calls on here.,5
81f62c0b-3066-44a4-a7e5-c58b7ac08f15,thumbs 👍,4
d003498c-bf2b-4e30-ab94-b16c1215f8aa,good,5
a9b11dd2-63c1-4acc-be8f-77221fdc7261,good,5
fc9eb44c-fa6f-4e04-a174-68977d71c909,great,5
c77cfc6a-9704-4dde-a5d3-51db340987de,verygood💞,5
d474d0f9-16e3-4982-abd3-3d44443f3ff4,this account is so Nice. so Fast,3
568d04a5-a942-46d9-893b-25223c3f57eb,best easy,5
a7aa86ce-eb54-46ef-acff-ebfd35ef5671,I love it,5
4e28a80c-a69d-48e1-b3a6-10d7389c32b2,good,4
38b4c902-d2ab-4adb-8108-8def813a78a2,super 💯,1
331302c7-4bd7-45e8-b0ef-8d7129d81f99,"I like messaging of my friends, but sometimes when I was too busy for myself",5
c6c7e88c-0b02-4450-8daf-43d4a21a8ea2,"I’d like to suggest adding a 'views' feature for Notes, so we can see how many people have viewed our shared thoughts. Additionally, when someone opens or click to view our shared thoughts, it should count as a view.",4
7ca0f66c-6704-4906-9883-c71642930c34,Good,5
76f1fa76-7bf1-492e-8aa9-d64c30fcdd98,great,5
6a444770-395f-491f-86d8-6fdd42f6c3e5,love it it is a good way to see loved ones that you aren't around so I generally think it's a good idea that they have added this detail to Messenger I think we need to do it on a little more things but yeah it's a pretty good thing I'm a barber,5
e4b4c48c-bff7-4bde-8065-fcfeadcf7bf6,It's great,5
9db604a4-8bd8-43ae-95b7-4a41f6e82a97,good quality,5
b7e84b2b-4706-477d-b491-c4bfc3a12196,good,3
b49998db-638c-40b1-a345-4370b34d7d37,great,5
04e3e5df-adbe-4e34-9411-bc24043e497d,Good 👍👍,5
19e6aad3-bd69-4732-86f3-22ffaa4995b6,worst ever!!!! the new updates of messenger is making it worst!!,1
e0f94f91-0124-41c2-a862-2809a4844d3e,messenger is tha best app for collin p,5
8bb72b48-84c1-4543-a64b-fe49a571cd79,My best app before now .I want to be seing my send delivered or receive message . block all them ratings from AI and UI and old 1 stars .2. 3. 4 .5 stars block . no my sharing of my subscription . this is personal account details i will use otp one only my after the verified open sharp . fix it . I don't have any agreement with them multiple ratings. no file sharing. no events offers update.,1
1e8b1546-eab1-49ad-85d8-62782c0fa07b,excellent,5
c36f4708-eb3a-4b6e-a04d-d194d8fc798d,excelent,5
86f14db6-4a2c-4413-89a2-492f3643b841,"I don't like the end to end encryption it's so useless,it's stressing me out my pin is correct but it won't restore the messages at all please I don't like it we know everyone don't like it either I don't wanna delete all my messages and my conversations",1
6f140748-b6c7-456a-8325-fa5e37427c4b,"was working the randomly can't send my messages it acts like it's sending but that's what it says on ""sending"" it won't actually send it, maybe if y'all actually cared about ur app u would fix it. my phone is up to date with it, person isn't blocked, I've restarted the app and nothing works thank you for failing.",1
823eab76-93da-4208-8e30-794d96529d3e,very nice call faslity,5
02da7822-5de7-4cbd-ad65-c3b398c64975,It blocked me from the chat now i and chat wirh the ai tarot readers.,1
f516375c-151e-486b-ae32-7432466da92f,okay nmn sya nung una tumagal parang lagi na syang nag lo log out mag Isa,3
475a1aa1-a4ba-4015-b358-d4c4f57af5a9,laggey,4
8137825d-235b-4a75-a818-32ecb3e5a5bb,good,1
223161c1-c133-4559-ac58-d279c0e4c6e1,it was good,5
2dc5abba-e14b-423f-b93d-99b17b7f12c7,Ugh. Won't work.,4
74054697-5023-45b5-b079-8d60acc60b5c,I love messenger..!!,5
56eea41c-9edc-45ea-99be-c588d32abc9d,it's really good 👍,5
2c499eca-f15c-458b-9bac-491471ea7905,Superb. Audio outstanding.,5
c4bbfef3-7062-4062-b608-b1d15bc04a57,good measage,5
789c462b-8eb8-4832-8764-04d13315f2ef,very good apps,5
6a5c81c1-1e38-4f3c-bd10-759afef64b8c,"good clear conversation with my friend, just as good as a telephone. I'm very satisfied with the quality and will be using it more often.",5
48b49b3b-1ba3-4a72-b15e-e23d538207ca,Great !!!,5
1b1b17cb-ed30-45a2-a526-3d555bbdf89a,good app,5
b43c25e2-a224-4a6c-ba92-e018e2d8eb74,"Wow, thanks for grouping all the pictures in chats into a jumbled lump, so that I have to scroll through each individual picture to laboriously find one I want to look at, rather than just, y'know, be able to click on the one I want to look at. Like I used to be able to. Before the latest moronic update. Thanks so much for making a terrible, glitchy app even more useless. I didn't think you could do it, but you did!",1
64ab4917-a4b9-43f1-97e8-b37fa29d84f8,it so nice to use easy to contact your family side,5
ab915631-f57d-4514-8be9-da461e4d7e96,"Maganda,mornengdyan.sa,ateng,lahat.",1
6bff13db-8106-4656-a369-3d1b2d885e5e,Nice and easy!,5
ffe9c3f6-0d22-40a6-bd64-8e3955e181d0,I wish I could go back to my old messages but it's either not opening or the whole chat got deleted out of nowhere hope you can fix that,3
3ce566c2-ffaa-45ec-9761-71d72389294c,"fix the problem, I used to ignore gc for it not pop up in my chats but able to see the message when I want to look at it but now it doesn't.",2
cc32fcd4-33d2-4184-a984-fd449f5c88a6,"After having a much needed session with a very close friend of mine today. I realized how much I need and appreciate this ""MESSENGER APP""💞 ""Time & Communication"" with Someone that i have Labeled & Titled As ""MY CONFIDANT""Unless we take time to EVALUATE** ALL Things Subjective To Us and For US ...THEN & ONLY THEN CAN WE BEGIN TO OPEN UP other avenues of dimensions with OurLives! THIS APP has perfectly manageable settings & is convenient. I love it!!! I would and do recommend using it",5
e2a15795-4c45-447c-8f2b-badeaad50138,but once a month I have to remove it and then put it back in because it gets to where it's freezing and all that,3
e4048d90-cdb7-4cfc-b41f-e6a9c8f81e45,❤️,5
1e8b9082-dc05-4e59-9856-e8837532dd2f,video quality is bad,3
598400b5-ceec-4f12-9bd9-36ab112362ec,"A little confusing at first, but once you have it all down, It's pretty cool.",4
08225994-80fe-4247-8d66-42536be09a89,some messages my friend sends me say message not available on this app version.,2
5a8c1f5f-65ec-4f23-8b7c-c90a1a255186,messenger didnt load pictures in files/photo media,3
9ae8596b-7439-46fe-b30b-48e5ea7490cc,good App,5
bc1352c9-4e1c-4089-a00f-5b92da430bd7,Great,5
19aa275a-3c07-48e4-addf-4c93797118f5,good,5
307e0df1-6a2b-4210-a11f-ec45e8fa511e,"i was experiencing offline status delay, i already offline by 9:40, but when my gf check my messenger through here phone by 3:15am, im active by 4hours ago, how is that possible need feedback to anyone please thank you",4
abe5f6fe-03b2-4378-9f05-53664d3579f2,Nice,5
8d9c55e7-ac45-49ae-b1bb-7ac5465fb3b8,nice,5
5b03aaeb-032d-48ad-b19a-bcdca06bec7e,Nice,1
4c1b61c2-36da-4ecc-9213-cd44ba8bc3ca,good,5
dd94bae9-5061-4fbf-8fb8-a5b842167e23,Nice,4
4db2646c-4d0b-4965-968f-d2b4bd278169,Best messenger ever,2
baf66b03-d8f3-4c09-94c1-6da419f7654f,Very Useful App 👌 👍,5
9f092abb-c56b-4a48-a5c7-7c094f7f028c,pretty good,4
a67d99e8-ae1b-4a32-99b2-1f5c58b2ab98,"it was ok for a long distance, it went in & out a little bit.",4
ff3279e6-706d-4306-8fe5-df0e3a8755f8,best,5
8dd1e4a0-c60a-4efd-8a37-4c276cfd1f10,awesome,4
9275e117-e311-49c0-ab80-5175495d1d01,lagging,1
1658fbe3-c485-4199-b7c3-f1ac26b6ab79,all good,5
1946eeaf-eba6-4aee-b869-2da33da39208,my messenger has been updated and I'm really enjoying it like before,5
0a2f2d25-e3ba-480d-badb-2843de0b5431,ok,4
d0cb4553-1dac-4c59-9f2b-9c89814839e9,👍🎉✨,5
b0768477-bd0f-483c-8e08-e1b00f333f3f,what can I say more? very reliable to begin with...again...what more could I say?,5
cc24b524-34f1-4876-a07f-d92d72117ec0,really this is the good app,5
b02d7f49-062c-4680-93e8-678b765c4860,very inspirational ✨👏,5
d9f51ade-8ea1-4249-9571-0d1fce3112e1,Happy 😊 😃,5
fd4ad585-b9ab-4938-8805-1f894624cf13,I got hacked,1
4d4c808b-ce34-4350-ab40-3cc32454ac5b,Great 👍,5
867c6a7e-d7d7-4cd0-ba90-a130443b38d4,im so proud this apps,5
f15e2e1a-6f82-4fcd-b5db-2bada534410d,Yaws ka nindot oi naa pay note²,5
3bcd10d2-fad7-43b6-bc12-dbcf9c6b220a,VERY NICE APP,4
5cee6d5a-6c94-4100-b961-ad8f9d390510,good app's 🥲,4
6231ff26-6b43-4ca2-964d-721888311907,it works in everything else but I get late notifications from 15 minutes ago or I don't get any notifications at all unless I open the app. there needs to be a bug patch or something for notifications because these late notifications from messages I already seen are getting out of hand.,2
3f45a87b-530e-44ef-845b-0ab6711270ca,good verrrrrrryyyy,5
db15c449-2843-449c-9027-ac8c9fff4c01,"my experience was great 💯, till i won over $1100 and deposited over $110 and have yet to be paid. so unpess i get my money i will constantly and consistently letting everyone know not to use this platform. makes me angry to think people can take advantage of other people like this. if the funds make it to me i will remove the post",1
7efa7dca-32cd-420c-8dfd-61604dbba41c,very good,5
b5ae3038-e21e-4865-925f-794bc930e28c,very okay,5
d7f8256b-8e1c-4171-954c-43f867c6ab47,okie 👌,5
9144a6ab-68e6-46f7-8449-c3537c609f37,The famous honest quality working. but don't getting outside body corruptions. work good honest name. don't playing system outside body come vires party cutting. not playing outside. system ceeping police security.,3
e7e0eb72-90f5-4604-8a32-9005b220e894,"Still don't understand why we can't get our old conversations back and if you don't have an encrypted conversation,why will they be deleting everything from the past conversations. it's not their conversations they may miss if they delete them,or something important on our conversations lists ,and I dint think that's right. Not happy with this news either. Why do they always have to start messing with something that's already good and making it worse?",3
2c22e5f6-9905-4ea5-ba18-a996d87fb59d,i love this app,5
ee2979cc-8ed7-49ab-a130-639e56021220,Awesome.................!!!,5
774ba1cd-11ca-4980-9dc9-68aa91301f2e,I dont like change but since this al meta taken over all it seems to do is change and update.... I hate this app but got to have it to be able to message people... if this wasn't the case I wouldn't even have this app,1
1c3b8686-b29a-4cc5-948e-93952495cb25,great,5
