reviewId,content,score
c0a07dbc-c7a8-4249-8f1c-22c3a5133f26,super super,5
665961f1-5505-4690-be29-e2bbb6b2294c,💋wow a instagram 😇,5
bb0b3576-0f92-4976-9f70-d3a6648d822b,"Following the recent update, I’ve encountered a recurring issue: after viewing a message, attempting to return to the Home screen instead opens the camera. I would appreciate your assistance in resolving this matter.",1
8c779142-5d7f-4e41-bbea-bea98559d016,Excellent!,5
ce80e18d-f994-474c-893c-b316574f76a0,lovely app,5
7bb88a54-ccf6-4acd-9c04-c0b0952b8b78,best,5
4f1be0ff-cfbb-49fd-be27-ac1e9d7c4367,super 💯😊,4
dfa7b524-79ac-44ac-a370-b7408a325c72,nice ap,5
83b76943-65fc-4610-9d00-06c1243880f1,very nice 👌 👍 👏 😀 ☺️,5
8eefb872-8773-4eae-a95b-b79fa7e306e6,It's very good experience in my life. I am so happy. And my last words is Thank you so much.,5
b7c0dbc9-bb63-4515-a928-d440585234d1,mera video viral nahi ho raha hai🔥🔥,2
a2a7ade7-f316-4bfb-b41c-fce0d269353e,I could not get the notes of my followers in the instagram on the top of messages.,3
776c97a9-5725-4ab0-915d-dfe6bda37e6c,very good,5
f54cf933-449f-4ed8-af70-1b83e98c1ab4,Nice,5
ba232798-9d15-44d9-af7e-2251684a91c4,🙂👍,5
a253d49c-a961-45fb-ba78-202624aa5ec9,waste of time 😞,1
24156d9a-43b6-4947-92d3-f3d46857d357,not send message,1
f23c3a53-47a8-4dcc-b4f6-7a5c689c84fb,super 👍,5
ebf6e217-3d45-449f-92ca-3198830a53ce,very useful app,5
9c9c6118-1116-448c-b352-81e4c9cdca21,basted,5
480e53e9-1d43-4877-a6d7-572e64c989a8,ok ok,5
498d9e11-2f9c-4447-9724-4d4593c73b8a,good app,5
1ea03cde-4231-441f-8556-b74b1414dae5,i like it,5
5579525a-d0e8-4ebb-8f0f-083d25700152,super,5
55d715ae-dd23-4451-94e6-da8760e7d3ee,very very nice app ❤️❤️❤️,5
c49cd4bb-d437-4481-9b45-1c6a38c34090,good,5
14b7dbba-5eee-4892-b4cd-407d8c261bd6,best app,5
84714049-8baf-4973-8e14-a41ff86317f2,Easy integration with other social networks allows for greater reach through sharing. The possibility of interacting with people through stories is amazing and fast. Keep it up Instagram,5
743e15de-da82-4abc-b631-a69cc20f309d,"This app is really good and very advanced in terms of technology. I’ve received a lot of support from it, and I really enjoy using it",5
e93a2720-3d18-423d-a0ef-96cfe5d5776a,bekar app h,1
4f77252f-ae57-40a3-b82d-9c7bc9a657bc,good,5
8126d809-e0fc-4b2b-985c-a8be2ca51301,nice,4
056a97f3-85ca-4ed0-82bb-38321d23e57e,best,5
fa112466-283a-4148-b772-0a1541b97a60,🥰🥰,5
