reviewId,content,score
a6030814-b750-4b06-aec1-cb81962dfc4a,It's very bad 👎🏻,1
c6a15b4e-f2b9-4ed4-8eb6-5b9868c8ee30,ok,5
ed083a32-8dc3-4b8a-bc2a-55dde5432099,excellent,5
afb7e84a-10ce-4519-94f4-851dad0ba78b,simply good,5
8d5eb35d-75b1-4d6c-ac3e-f97a439673d6,This app is really good. It helps me to my research,5
af9e74bb-e8ca-4fca-9efa-43c29309c892,It's great. I LOVE it.,5
50c98dd0-1ba1-4e91-8102-a17567301e8b,The app doesn't allow the orientation layout without subscription and that makes it difficult for me to use it,2
e2a293f9-b60a-495d-962d-a68492ab9793,< wouldn't mind the Inc text feature which I guess is not available on Android yet,2
7e99ad12-312a-45ed-94a4-63b389aa25f1,everything is excellent 🇨🇦,5
6898822d-229e-417a-85cc-3ce8952eed5e,very good app,5
5e290c55-f00c-4261-90ff-328806bb4410,"you have to pay for it , nothing works",1
68b283bc-9d20-4ad4-9ead-d1ead4af3615,like it,5
2706bd81-74fa-4c30-8b31-75f22583dc05,great,5
b5426ff8-1867-453d-8396-2a24084636bb,"The latest update is so unnecessary and confusing. Must you update??? Must you follow trends? I loved this app so much for its simplicity and how easy it is to navigate. Now, the app is just confusing.",1
4da8e943-f175-4cc3-a945-8fab24cbb462,good,5
d3c5cc0f-9040-4dc1-a01a-e3b4e4255922,Awesome app,5
ce51ac29-b2ef-4ceb-bbc1-b9de2940f5d4,best,5
c4ac5e63-e634-4920-900d-c0436ad7a33f,good 👍,4
6c7dce5b-acaa-4ecf-b527-1f0d9d66fcfd,this app is good and fast too,5
fa2b28ce-253b-4ae8-9f35-557ada2f125a,good,5
7c566969-ea62-4653-8141-a32b84c2f93d,Love it,5
9676647b-c492-483e-8efc-d97a4dea950c,good,5
676cf8f5-8925-462b-9e7c-58e3fef278f7,I CANT LOGIN,1
6ee996ca-6845-47be-91d2-5e03a35ba63b,good 👍,4
e3d2488a-2557-4cb0-a136-d5c6b03a3f68,good,5
2e59b287-f591-4059-a4d9-6cfd446e6919,very nice,5
1e663d1a-3db8-4584-b07e-561f7428f974,the app works in an excellent way,5
f51c29f2-c7e7-4f77-8d05-0ba1c0cacf4d,this app is good for everything but there having lot of peoblem by using in mobile phone,2
ed26acd8-c2f5-4f3d-b105-2818f66cf3c3,"love it, helps me feel like I can really express myself",5
a6b689f6-3195-4efd-99d8-4c80f0d0fd6f,"Once you rename a file you lost it, this really disturbing.",1
ed9c632f-76c6-413c-9612-da2a621ce8e3,There's no better word to explain the awesomeness of this app. I no longer move with my laptop.,5
113b3c39-8313-4f85-8232-ff2894e18fdc,i love this 💕,5
b66dfc0a-5451-4f6e-a5b3-6875c159ff9f,good,4
4b1f8e48-6969-41df-afa2-290b8a3b2f81,nice really nice. Without a laptop it works great.,5
578ebb12-9d67-4a73-a5fd-9d217ca5a4c1,nice,5
ddaf7f93-8c84-4d55-867e-c6875670d104,This app deteriorated fast. I can no longer save my changes. So what's the point?,2
dde3abea-b97f-476a-9c62-6c5af036a64e,awesome,4
774d8792-b0ee-42c5-9945-e285709dc738,such a really good apps,5
bc7f2484-da84-49cc-88cb-afa2e4b8b516,It has no rival.,5
42d7ad05-a844-4773-8e1f-55fcff7cc216,easy to extract,5
fdfd800e-543a-4ce4-89ea-b19f41c6fe60,nice 👍,5
72e0d9b2-354b-4c3e-81b8-c574ac007b33,it is not good,1
7a55bda3-93c0-4559-810b-bd65e8d25649,Awesome App,5
6ce63508-5857-4640-9882-f642d9706e8a,nice,5
0c970224-c66d-40a9-8c31-e4f6e1f46252,splendid,5
8dc1182f-5aef-4ea2-83c8-76e5b46de68b,good,5
