reviewId,content,score
317e01a5-0ae7-438c-92e6-890b78842f10,super,4
e11259b1-9fe7-4a59-9443-1b4782285a3d,Hey guys snapshots is good I love it fantastic,5
6557d473-63d3-4771-8c03-577cd1f4cf78,So I put it 2 stars here's why 1) I get notifications like every 5 seconds and it just gets annoying 2) When im talking to my AI for some reason it closes the app,2
fac72801-be66-4dd8-ad62-4ada52e0fca4,safe aap,4
a28ac9e0-5482-4fa6-8253-22dcb3a497f1,good,5
ed0e3a99-f32c-4a5f-84d1-118e79b13524,Good app😊,5
e873901b-6adf-4136-9d94-0512b78833d6,very nice,5
d1e60e0e-c598-4fdd-a29a-f8144d125d35,it's a great aap for passing the time,4
8d9fa249-67d6-438b-b780-e9c8fe511d1f,All is fine except when I try and make a public profile it isn't allowing me to. I've updated Mt Snapchat and everyone around me can make one.,3
7be0a47f-bf15-4679-8bc1-654103513ca2,good overall,3
c92893b9-05f1-4dff-8ab1-0d1f50f1d26f,nice,4
6251b129-8aeb-4868-86bd-abaa7ae43354,Snapchat is a good app for spent time with friends having fun,3
4d3dd759-f6da-4abb-bbd5-e5b15ecc2caf,not put crown,2
4f48dd23-1cf3-41c4-93df-936a7185b35d,"Trash, filled with spam.",1
fbdade6e-7431-4e57-b7c5-9f46609daed3,I love the app yall should get it!! it's freeeee,5
a4a453b1-66c7-4d0e-906a-e9fd2b5b3249,You good,5
b328d164-c738-4d3f-913b-7d37688af260,Nice app,5
b462b07e-4423-4b89-a9a8-fc93e3304726,good aap,3
7c9fa5ea-6684-4048-b0da-92deb1fae804,bad,1
416a1454-56a9-4a14-944a-905cf82f68b4,good app wow,5
01a67610-c6c5-400d-91f1-d835bfb850d0,"Great app, but I've had issues with snapchat not loading snap stories or snap memories for a long time. it will load the first 3 seconds and then slowly buffer after. Making it extremely painful and essentially derails me from being able to watch snap stories and memories. This is the 3rd phone now where the issue is consistent. This has been an issue for literally years with no fix in sight. I am waiting for the next Snapchat competitor because this is just ridiculous.",2
1267f32c-894a-4ded-8cfc-ee4df9943b8d,this app is very bad.problems app lock automatic,1
6a44ca14-7594-4ae1-90f4-3be4afcf4e56,nice,5
