reviewId,content,score
00505930-ed03-4a2f-b5c0-3aa0962f662d,They have everything I look for!,5
420c1db5-e36b-4e77-bf42-ea29418346a7,tons of ads,1
30053e93-e0e4-4c7f-a5a8-1690d203dec4,just 👍,5
1c963b7d-9977-4508-ad84-4fa965ed14f3,"If you don't buy Spotify premium they will make listening to music feel like hell. You will not be able to repeat, skip, or pick your own songs. Ontop of that you will get more ads than music (not exaggerating) and they will also throw in random songs for you which no one asked for.",1
178df882-3da7-4465-a782-264494f4303f,I ABSOLUTELY LOVE Spotify it's soo AMAZING,5
066b1ed4-abe6-4c2e-b2f3-0753ad4e8f5b,"I've always loved Spotify but recently pornographic videos come up when I search songs. switching over to YouTube music, can't be having my babies see that on accident!",1
becd7c0d-8f39-44cf-8990-e69886e69285,good,5
ad07c75f-c33e-4a57-aacf-68a837ea365e,good paler,5
7b9d8df2-8964-4cd1-8928-60893b0a0dc6,"i love the music, its just its always pop up the ads",5
919130e0-3bd7-4ae4-9ee6-813befdbe323,Smart shuffle doesnt work the first time. the app is just way to slow to be paying for it.,2
1bf344aa-5089-44c4-bc9f-e61089b839fc,nice,5
3ea8345c-db49-4816-9b5e-1614c5d41493,Getting my favorite old timers,5
4a5e6b54-791b-417b-b9e8-98f9da788898,best ever collection,5
e6b65e57-e2d7-4a03-84eb-3323c73ff179,very good,4
38915e06-7721-4c70-9b08-3ec9e0962a54,Love my Spotify! I use it everyday!,5
69ce27eb-4138-4a2f-93a8-053019ade969,I love Spotify and all but idk if is juste but when I try listening to a song I want is always a different song and if I listen to songs IN MY PLAYLIST it gives me songs that aren't in it like hello???,3
baaf7f14-e916-4813-b3a2-e1581b04a913,Excellent,5
c3c59868-7374-4e77-85e2-e25868a144ef,"it's ok, but a lot of ads have to be paid to skip or to choose a song. but it has all the songs that YouTube music doesn't have.",3
2df640bc-f6ce-40d2-a40c-c2e9a147e782,Great experice,5
edee2229-c182-4ad2-a33a-803f560dce45,🔥🔥,5
39c86e88-3079-41c1-aa86-6a3dee685b69,excellent service on music and it's ability to be so intuitive. it also has an excellent array of music,5
f4550b21-973f-486a-a38e-83c8396e6f69,AWESOME,5
96414c9d-fb29-48e5-bb77-3a07a04c9572,just awsome 💯💯,5
db52169a-26c2-4d27-b3ca-4853e1800d1a,"pretty bad. not much good music, not very useful at all . mostly annoying . n I think they design it to be bad on purpose",1
4d431892-7a29-417c-8c42-657a509ec2f1,only platform that I listen to music on.,5
7c1afc62-c154-470c-a6bd-ef28e3ff1401,best music app ever but a bit to many ads but love it ❤️,5
01dbd991-60f7-4d8d-a9bd-624956649bd0,I love it you can find songs that you haven't heard 4 years,5
706dfcbb-0c07-4c08-8c04-a452f9e52479,is good but needs to continue improving this app.,2
1deb9b2e-b037-45ea-b2cd-d3f101de263e,Bring back basic features to ad supported tier,1
