reviewId,content,score
b55afa7d-76df-49f4-8aa2-39819a84e85b,nope. tiktok banned me for 3 years on direct texting cause I am 15 . my birthday is tomorrow dude and the age is 16 to be able to text don't get this app if you want fairness,1
b45f6984-9808-46d1-a078-4de4a9ded038,very awesome and plz make offline version😔,5
6d6ad27f-fd49-41e9-8c62-a1253b717846,"Terrible customer service, was banned and no reason given. When I inquired, I was told, give us seven days, but then a week later my ticket was closed with no updates and I still didn't have access to my account to appeal. I haven't posted anything in 3 years.",1
8f703cfe-51b7-49d8-8d27-22bdf9af003a,l like the this app.,5
cc0ede40-62d8-41e8-9be8-ebb9422b2b58,tiktok is nice to watch for your free time and get to make tiktok and just watch videos,5
73e67da5-ec10-4518-8e80-9e55b33cd020,For you All video,5
14345720-67c6-46ae-a7d2-282a0cc0097b,______________________________________________ Hello Tik Tok Team I have been working hard on Tik Tok for quite some time and have been posting very good videos.sheraliofficer,5
5eb9d269-5394-474f-894b-1f6e4c27c3e9,animations need to be more smoother and occasional lag maybe a redesign,1
d9f90637-824d-477c-b27a-5ab063f64d58,i love tictok 💛🖤❤️,5
6daf413f-d14c-4fc5-973a-60f03531d463,please claim to it like geet,5
798d5c78-a578-47e4-b255-157b96b7ed10,the app banned me for nothing,1
1c9bee77-da0c-4136-92fa-9348279e5e33,I am very interested in this app,4
7489637d-a85d-4c95-8ece-1beb9ec7d733,can't even open a message from a friend,2
e0b2d117-f0fe-442c-a12a-9a7b8f8e2f8a,tiktok shop creator pilot program,3
2f43bc3b-a1e0-4937-8e41-96f5681da1bf,you're not getting this for stars I just took away from you I do not want to do that to you you'll never will put the language of English videos on here and never again I'm tired of rushing videos all day long I don't understand him and I can't go live I can't get no one's live stream I will give you know Stars I wouldn't be able to comment you're not worth it to download a nothing new and keep it no wonder some people are so happy about you get permanent band I'm not happy with my service.,1
2cdf0432-52b2-46d5-bf84-8c2a6a82d147,Very happy,5
7998278f-131a-452e-a036-e6ead8e9b594,Fun to watch,5
72bb3e78-7cc8-44fb-b927-3ae908ac86c4,"Your Ticketkok is very good, I upload videos on it every day, I wish my video is also viral, you make my video viral",5
e452d2f9-cebd-45ae-a84d-807d81d9f61d,"keep the 2 stars-I don't know why, but I can't open all my pictures to add to create content- really frustrating and disappointed. previous review: The update now causes playback delay when syncing to a song, which makes it awful experience to edit. It also shows oriented pictures is edit mode that's different from final mode, also frustrating. Idk why it was changed, but this recent update makes editing super frustrating and takes waaaaay too long to create to where I give up.",2
3cd356e1-7511-44e7-84dc-080f8bd850b2,worst app,1
964ec0d9-f10b-457d-b92d-c6ec90a05de5,so beautiful 😍😍❤️❤️,4
a7a92724-bd13-4dfc-9ac8-e2efbfc4ca87,It's a bit overwhelming,3
1ecb91bc-78f4-48e9-97d1-8d3df50f65d1,the app is really buggy on my phone or maybe on other but I don't like it can you fix it 😡😡😡😡😡😡😡😡,1
6a3b8a12-c8bf-44d3-bcd6-61a1838791ca,"Now that I'm more mature. Most of the videos are genuinely stupid but once you're stuck in the loop you're constantly liking a video even if you don't actually LIKE it. Also, another issue. if you want to post videos. Eventually, they'll stop sharing your videos because of their point system. Trust me. it gets infuriating because you scroll past a bunch of unfunny stuff which are somehow viral. ALSO they downgrade your quality for posting on all samsung/android devices. Trust me.",1
341f05bb-a6a8-48b3-bc9f-64e961c84fd6,I love tiktok,5
4670ca90-0ae0-46ba-887c-324bc62655c5,come here and see life this tiktok is really good,5
0c4c9e54-4454-4bc7-a50b-583118dfce8b,Goot,1
ff0610c5-4d9a-4722-8bff-b30e802f8d10,excellent appt news,5
5ec3eb18-c7c0-4d90-891d-2486212286ef,Nice,5
4228897a-e504-4c36-b72e-acff4129592b,very good app,5
5c1dcd54-8b39-47b6-ac03-cf1e9bd5f75f,I like a lot 😌,5
14e35b2d-9ac4-4bf9-a26b-13427d1a7df6,This profile contains themes that some may find uncomfortable. @shuvomiazi.officall,5
18b21502-045d-4f4b-8f75-9f2029ebc74f,Makes me happy,5
f8d3ac4e-c955-47e0-b814-1ab61d5c5a51,"Great content sharing app but too much sexualizing on the search. Like if you search anything, 95% result will be just adult content or nudity and very few helpful results",1
186fdc5b-63bb-48cf-878c-208a389dcc2b,wow app,5
54440df4-3881-46e5-9333-16b13d5ac3ba,"The app is fantastic ,although i am not pleased by how tiktok suspends futures such as live due to age restrictions despite the fact than one is above 18 and the appeal process is frustrating",5
4890152a-e19f-4c19-95cc-47f4871a32b5,"love it, I never laughed so hard",5
b4abdf91-fd34-4f54-a3b3-6285cf0a53db,bug problème,1
4cf6f1ea-60ac-4c4a-ad3d-efbfdbf78342,I need it now,5
57e6fd7e-c0a2-4cc6-9023-c38e4971ff49,sera viral,1
5a1259a8-022c-453f-a10e-83cc5d4c4144,It is a good app,5
a992344c-d56e-4939-871c-887b5eab0960,from last some days TikTok app stuck when I want to open it's not open infect stuck please fix it as soon as possible,1
972c7273-f335-479e-b16f-f2a5aefe3f71,good tik tok but add so sad,5
c0c3b351-259d-416e-a3e0-2a41ea685453,for you ❤️❤️❤️,5
837a3cfd-8708-4027-92c1-e58b009f1ef7,"the app itself is fine, the censoring in comments and guidelines border on oppressive. wish i could give this a 0 star rating.",1
0d728e2e-d3d3-48e1-9a7e-66796a7cfbb4,This is such a a good app,5
e7c2a95d-9eb0-4db8-aaf2-b37d62253a71,All good 💯,5
41b4b6f9-16c9-4c9d-b3d8-3932f49a7697,GIVE ME BACK MY HOLD VIDEO FOR 2X SPEED PLEASE!!!,1
337902c7-4409-4d88-91d6-23f46c0b39d6,best app,5
a68e6ec0-54c5-40d4-a205-94038aea03f0,I really love this app 🤩,5
99198da0-9c77-49a4-aba0-abbbc301a4de,"it's good for others but on side it's not good for me coz those days i wasn't search for commercial sound,",4
6210354d-a14c-4748-8ace-f85ef7c027a6,wow,5
2096e1f1-f368-48a9-9445-b823d6ec479c,"I've deleted my account months ago, yet I'm still receiving messages. I wish that would stop. it's filling up my inbox with trash",1
10d8e23c-a45a-4166-b4f1-12b76288c9b9,Perfect app,4
822b4ef1-95fe-40a9-b503-b2505b13e359,"Bans any form of trash talk, guess the Chinese get puckered when they see an insult",1
14e171a8-c8dd-44b8-9308-37f8bda51ca0,No donlwod tik tok please 😢 😢,5
f24d3e89-9c77-457c-a89c-c172fab55216,cherry pick their comments.. deleted,1
510fa746-98c0-4336-ab15-3df2c1902873,🥀🥀🥀,5
1604a533-a072-44c0-b50f-6c0945c47e15,l can't use it it's so bad,1
550ecefe-2853-4bcf-ade3-b844c1b803ca,"You can report the most racist, hateful, and sickening things on this app and they stay up. You say the word ""Gross"" and it immediately flags as ""violating our community guidelines"" it's a JOKE",1
76662c00-ac8a-428a-98e4-6033ca56b60e,Full sport plz 🙏 tik Tok team,2
0c747764-035a-4caf-9f84-e62c050f3480,The New TikTok sleep update is really annoying and i dont know if its a bug or not its playing sleep sounds in the background and sometimes it does not turn off i had to restart my phone multiple times. rest all is ok,2
16a0d955-abab-4557-b86c-ed44a81b9266,it's amazing,5
b71cb2df-95d3-46e9-b451-1aef7a95aa5a,يهبللل,5
20dc45b6-41d7-44e0-8158-37678bd9218a,I like it,5
558402c9-ca90-4cae-8798-49cadb960859,This is the best app that you can wach good video clips,5
7370f1d0-d60c-46cc-bf9c-9c977d6f33f0,no permiten ka libertad de expression. TODOS LOS MENSAJES BLOQUEAN,1
93a897cd-b952-4bf9-acf4-2e9b4b90f6b7,I've been banned on tiktok for over a year now because random people reported me for being underage I am 18 turning 19 this year I would put my card on to verify my account but I don't trust putting my card details anywhere so tiktok please unban me my account is Lexi.gilligan0,1
7e53b9f6-8fbf-4741-9890-e32cc1bac080,impressive work done by the team to add more features.,5
c41d2a32-bc1b-4297-a19d-5ad86267d36a,very expensive 😔😜😜😜,5
86256601-bce2-44f1-9637-d41605a02c7d,the best app,5
e3bdb35a-99fd-4d19-badb-fc34e5734d3d,nice,5
7143e56c-e22c-4125-b0c2-3e1c9ff49ce8,well done,3
e77fe362-e27e-481e-953f-610e6a75f825,good 👍 app,5
37d870de-1953-49c4-a907-96a325a0080f,I absolutely love it 😍😍,5
bfc01978-de94-4830-a3f8-c203e733b1eb,"everytime it always gives me problem , the video cut in short or the app just load non stop .😪",1
c7149115-ff04-40f2-9752-2186687625f4,good luck,5
09276d69-05c0-4d5f-a8e6-96fae76bc01e,I love the layout probably the best out of any social app and the algorithm is awesome and i see stuff i like and get the occasional news stuff from around the world which is good my only issue is every recommended place is across the country from me,5
f052a617-b529-441f-915a-dccb498597d5,interesting🤔 in,5
bfe48a1b-76e2-4810-8c91-24728f67f45e,this is the worst app ever banned me for no reason actually i cant log in forever,1
fe4c3ed8-429c-4fac-b2d3-de017c60f055,Good experience,5
90a0093c-81c2-4cbc-8bbe-f5d1920504b9,I love this app,5
702d2fb5-e719-4049-84a3-be03b0f31551,nice,5
