reviewId,content,score
7c7c054f-c008-4a80-b6a5-b6bddd91ffda,Good,5
4a72e6c4-cde4-4c8f-b86f-2ce9477a993e,not good,1
697e19ff-5949-4f5b-a905-6f70546cecde,Good Service,5
b7d1fcb6-1e28-4532-9877-42dc946733c4,Plz.Add the new feture in backup like Groups chat and massages is not involve in backup option.Give the different backup option.only contect chat has backup,1
c1039922-9ad9-4975-a985-c8583d80419a,I can enjoy it,5
55f285af-0901-4c75-8648-fd1b77f45610,outstanding,5
6703f1ce-f6f8-4fda-8a8f-ded3426b05bc,👍,5
7927d3a9-a048-4c23-a181-daf8a568ecb8,this app is very best,5
16621e8b-80dc-4f55-a980-482f540125b7,WhatsApp is good👍,5
96636b45-ea42-4602-a28a-0cb6ba1b4068,Sharing whatsapp status is not clear... Pls Update future to share HD Photos and Videos options..,1
6cfac8a0-69ba-409d-b34c-50055c9c1d94,very useful,5
acd39ecf-5205-413c-84f4-38916754ebd5,very good,5
e7032ab9-7edc-4e90-b4c8-5569975e8048,Accurate,5
073b23a6-32ad-4ad7-8228-d46854dc94a3,good,5
6ada98db-a466-488b-8900-690971151a10,When i update this WhatsApp no new features are available Yahoo Messenger was too good.,2
f0519964-925f-4b95-a7bf-cb914c6a8621,nice,5
a53515e7-5592-44bd-80e0-5b0520b5a170,nice,5
96092ec9-855b-433d-86d3-5fcef8bc4a94,iam sorry my whatsapp is openet,5
c25cb6d7-a625-42c8-9fba-d69be06d895c,I love this app ever,5
52ee5065-a369-426e-8da0-a962f2365727,best,5
a0bb884e-5a7e-4ec2-afc4-bf161fd390b0,Nice 👍👍,5
d17f8c23-52ea-4bec-9869-2372486a1c57,what's uppppp,5
79c1db14-55fc-4483-917e-bd3656cadff3,WhatsApp is the most important part of my daily life,5
008a7e67-1727-4b38-b411-9272912d1059,my whatsapp app not music support please solve my problem,1
ade5d653-f075-4362-86df-d65139f9caaf,is the best app,5
0f91e9b2-4041-40df-83f6-315d0cb8310e,good luck,5
38e0cf3f-b862-4b10-b894-3cc5402f7f74,"not enough info about WhatsApp I put some info on WhatsApp no response. tried to holler at JuliousLee, no luck. .",4
e87b977f-fb05-4c79-9ff9-bd5c74fa950f,every time crash when login in PC with new Samsung s25+ ...please fix bug,2
f24cb3bc-0712-4201-80f6-393128e9f2c5,most useful and fast,5
e2b686e7-ddd0-464e-93f7-5ccf984a378d,good,5
be470ea4-3816-4c2d-ace7-d8d93e2559d1,official WhatsApp login nahin ho raha hai,4
75ac0602-555e-4e9d-a48b-1aca92936321,"Now it became a part of life. It makes life easy to talk or send messages. Now new feature unlocked, the Meta AI came in whatsapp which gives all the answes of question we ask by chating. I LOVE WHATSAPP❤️❤️❤️❤️❤️❤️❤️❤️",5
d08345c9-20d3-4ed7-8d5e-fabed07f6100,nice and good,5
477ec33b-2f67-4585-b92f-a10910aebf97,A Reliable and Versatile Messaging App for Personal and Business Use,5
a256495d-1889-4224-a6a4-9c4c61770156,anoying monopolist,1
5ada7b62-30aa-4838-974c-1360c8b68679,i am sorry,1
cc42daed-741b-43ff-8ae6-d4192ac31c1b,nice,5
dce914a5-2c8e-4b64-a2fb-d0f95909ae12,good,4
2d90598f-8a61-4901-8dd4-da1ed210b7d2,excellent 💯,5
39fc7753-f391-412e-ac6a-22b160af8665,Good,5
d5cd3e84-e7ad-4190-ad8d-ea14a4155ddc,Watts app vary impotent,3
b4390b8b-7f0f-41a1-929c-46a83600a4d4,Good experience 😃,5
2967c82c-1dcf-4fea-89f2-c48ee4fc05bc,merci beaucoup pour ton aide,3
7ea451d1-760d-43c6-a0d9-74f1f4cdbc11,Where can I acess the BETA program,3
2c740abd-576a-409b-86c0-18713ce4e681,"whatsApp bagus,mudahkan perhubungan dan melakukan kerja harian.",5
16b5263f-7945-4a9f-9b63-580f8ae294a4,Excelent,1
